"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"SERVICIO DE MONITOREO Y RASTREO GPS, PARA LA FLOTA VEHICULAR Y MOTOCICLETAS DE LA SUBGERENCIA DE SERENAZGO","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20600137094-GEOSATELITAL PERU E.I.R.L. - GEOSATELITAL E.I.R.L.","COMPRE-SM-1-2022-OEC-MDPP-1","129","SERVICIO","S/","53735","53735","53735"," ","03/02/2022","03/02/2022","28/02/2022","Publicado"
"ADQUISICION DE BLOQUEADORES SOLARES PARA EL PERSONAL DE LA MDPP","20131366702-MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","20606083379-INVERSIONES GENERALES SAGITARIO M Y M E.I.R.L.","COMPRE-SM-2-2022-OEC-MDPP-1","30","BIEN","S/","41610","41610","41610"," ","07/02/2022","07/02/2022","28/02/2022","Publicado"
" ADQUISICION DE DOS (02) CAMIONETAS 4X4 + EQUIPAMIENTO PARA OPTIMIZAR EL CONTROL Y VIGILANCIA DEL SERVICIO DE SEGURIDAD CIUDADANA DE LA MUNICPALIDAD DISTRITAL DE SAN BARTOLO","20131376686-MUNICIPALIDAD DISTRITAL DE SAN BARTOLO","20608182153-CONSORCIO EQUIPOS Y SOLUCIONES AMBIENTALES PERU","AS-SM-9-2021-CS/MDSB-1","CONTRATO Nº 002-2022-GAF-MDSB","BIEN","S/","243000","243000","243000"," ","12/01/2022","13/01/2022","22/01/2022","Publicado"
"ADQUISICION DE MOTOS LINEALES Y SU EQUIPAMIENTO PARA EL PROYECTO DE MEJORAMIENTO DEL SERVICIO DE SEGURIDAD DEL DISTRITO DE SAN JUAN DE LURIGANCHO, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA","20131378034-MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO","20556249769-OTSUKI MOTORS S.A.C.","LP-SM-11-2021-CS/MDSJL-1","004-2022","BIEN","S/","875000","875000","875000"," ","27/01/2022","28/01/2022","29/03/2022","Publicado"
"CONTRATACION DE SUPERVISION DE OBRA ¿MEJORAMIENTO DE SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AV.PROCERES-DISTRITO DE SAN JUAN DE LURIGANCHO-PROVINCIA DE LIMA-DEPARTAMENTO DE LIMA¿ CON CODIGO UNICO DE INVERSIONES 2515875","20131378034-MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO","10069058251-DIAZ LAZO JOSE LUIS","AS-SM-13-2021-CS/MDSJL-1","001-2022","CONSULTORIA","S/","153441.93","153441.93","153441.93"," ","07/01/2022","14/01/2022","20/05/2022","Publicado"
"CONTRATACION DEL SERVICIO DE CONFECCION DE LAS CUPONERAS DE PAGO DEL AÑO 2022","20131378034-MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO","20557572831-CASARIEGO ASOCIADOS S.A.C.","AS-SM-14-2021-CS/MDSJL-1","003-2022","SERVICIO","S/","275000","275000","275000","147050.33","19/01/2022","28/01/2022","07/02/2022","Publicado"
"REMODELACIÓN DE LOS DIFERENTES PARQUES DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA - ITEM 02","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20510874022-SABINA CONTRATISTAS GENERALES SAC","AS-SM-22-2021-CS/MDSM-1","031-2021","OBRA","S/","205190.59","205190.59","205190.59"," ","12/01/2022","17/01/2022","18/02/2022","Publicado"
"REMODELACIÓN DE LOS DIFERENTES PARQUES DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA ITEM 03","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20510874022-SABINA CONTRATISTAS GENERALES SAC","AS-SM-22-2021-CS/MDSM-1","032-2021","OBRA","S/","201733.51","201733.51","201733.51"," ","12/01/2022","17/01/2022","18/02/2022","Publicado"
"REMODELACIÓN DE LOS DIFERENTES PARQUES DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA - ITEM 01","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20510874022-SABINA CONTRATISTAS GENERALES SAC","AS-SM-22-2021-CS/MDSM-1","030-2021","OBRA","S/","225851.71","225851.71","225851.71"," ","12/01/2022","17/01/2022","18/02/2022","Publicado"
"REMODELACIÓN DE LOS DIFERENTES PARQUES DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA - ITEM 04","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20510874022-SABINA CONTRATISTAS GENERALES SAC","AS-SM-22-2021-CS/MDSM-1","033-2021","OBRA","S/","193380.42","193380.42","193380.42"," ","12/01/2022","17/01/2022","18/02/2022","Publicado"
"REPARACION DE SARDINEL, VEREDA Y RAMPA O VIA DE ACCESO A UNA AUTOPISTA; EN EL (LA) JR. BOLOGNESI 5,6 Y 7, JR. CUSCO 5 Y 6 Y JR CASTILLA 5 Y 6 EN LA LOCALIDAD DE SAN MIGUEL, DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20600689020-ADESERG PERU S.A.C. - ADESERG S.A.C.","AS-SM-24-2021-CS/MDSM-1","001-2022","OBRA","S/","220741.88","220741.88","220741.88"," ","14/01/2022","28/01/2022","01/03/2022","Publicado"
"REPARACION DE PISTA Y VEREDA; EN EL (LA) JR. INDEPENDENCIA DE LAS CDRAS. 2 AL 7 URB. HUERTIZACION SAN MIGUEL, DISTRITO DE SAN MIGUEL, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA - PRIMERA ETAPA","20131372184-MUNICIPALIDAD DISTRITAL DE SAN MIGUEL","20562956159-QUANTUM SERVICIOS GENERALES E.I.R.L.","AS-SM-21-2021-CS/MDSM-2","03-2022","OBRA","S/","1496129.86","1496129.86","1496129.86"," ","04/02/2022","14/02/2022","14/04/2022","Publicado"
"Adquisición de Pintura de Tráfico en Base Solvente para obras de la MVMT","20131372770-MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO","10423356800-ARAPA DIAZ NORMA","SIE-SIE-10-2021-CS/MVMT-1","orden de Compra N° 32-2022","BIEN","S/","74513.4","74513.4","74513.4"," ","03/02/2022","04/02/2022","09/02/2022","Publicado"
"SERVICIOS DE ALQUILER DE 03 CAMIONES DE BARANDA DE 6 TN PARA EL RECOJO, TRANSPORTE Y DISPOSICIÓN FINAL DE RR.SS.MM. EN EL AREA DEGRADADA SARAPAMPA GENERADOS EN LA ZONA (4, 5 Y 6) DE LOS CONDOMINIOS Y CLUBES DE LA PLAYA DE LA JURISDICCIÓN DEL DISTRITO DE ASIA, POR 4 MESES","20140080471-MUNICIPALIDAD DISTRITAL DE ASIA - CAÑETE","20512705252-MANEJO DE RESIDUOS SOLIDOS SERVICIOS GENERALES E.I.R.L","AS-SM-15-2021-MDA-CS-1","001-2022-MDA","SERVICIO","S/","222000","222000","222000"," ","04/02/2022","07/02/2022","02/06/2022","Publicado"
"CREACION DEL PARQUE RECREATIVO EN LA CALLE BUENOS AIRES EN EL ASENTAMIENTO HUMANO DIGNIDAD NACIONAL DEL DISTRITO DE MALA PROVINCIA DE CANETE DEPARTAMENTO DE LIMA","20158939666-MUNICIPALIDAD DISTRITAL DE MALA","20489558433-CONSORCIO BUENOS AIRES","LP-SM-1-2021-MDM-1","CONTRATO N° 05 -GAF - 2022- MDM","OBRA","S/","1996795.23","1996795.23","1996795.23"," ","02/02/2022","14/02/2022","10/08/2022","Publicado"
"AMPLIACION DE PABELLONES DE NICHOS EN EL CEMENTETERIO MUNICIPAL SAN PEDRO DE MALA DEL DISTRITO DE MALA - PROVINCIA DE CANETE - DEPARTAMENTO DE LIMA","20158939666-MUNICIPALIDAD DISTRITAL DE MALA","20544011325-CONSORCIO DIVINO JESUS","AS-SM-15-2021-MDM-1","CONTRATO Nº 004 - GAF - 2022 - MDM","OBRA","S/","859617.98","859617.98","859617.98"," ","01/02/2022","03/02/2022","31/05/2022","Publicado"
"ADQUISICION DE LIQUIDO ASFALTICO PEN 60/70 PARA LA OBRA: ""MEJORAMIENTO DE LA CARRETERA DE ACCESO DE TRAMO DE TORNAMESA - PUENTE RIO SECO, DISTRITO DE SAN BARTOLOME, PROVINCIA DE HUAROCHIRI, DEPARTAMENTO DE LIMA"", CUI Nº 2535743","20197061333-MUNICIPALIDAD DISTRITAL DE SAN BARTOLOME","20506281912-CORPORACION PERUANA DE COMBUSTIBLES S.A.C. - CORPECSAC","COMPRE-SM-1-2021-MDSB/OEC-1","ORDEN DE COMPRA Nº 001","BIEN","S/","65000","65000","65000"," ","12/01/2022","12/01/2022","14/01/2022","Publicado"
"CREACION DE LOS SERVICIOS DE MOVILIDAD URBANA EN EL ASENTAMIENTO HUMANO EL GRAN CAMBIO, SECTOR 04 DEL DISTRITO DE CARABAYLLO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20518950020-TELEANDES CONTRATISTAS GENERALES S.A.C","LP-SM-2-2021-MDC/CS-1","4","OBRA","S/","2034907.47","2034907.47","2034907.47"," ","10/01/2022","01/02/2022","30/04/2022","Publicado"
"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DEPORTIVOS Y RECREATIVOS EN EL AREA DEPORTIVA DEL COMITÉ 33 EN EL PUEBLO JOVEN EL PROGRESO ZONA IV, DISTRITO DE CARABAYLLO ¿ LIMA ¿ LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20534348194-CONSORCIO COMITE 33","AS-SM-28-2021-MDC/CS-2","3","OBRA","S/","991148.76","991148.76","991148.76"," ","07/01/2022","01/02/2022","30/04/2022","Publicado"
"CREACION DEL SERVICIO DE PROTECCION DE TALUDES EN EL JIRON CUZCO ENTRE EL PASAJE AREQUIPA Y PASAJE A DEL PUEBLO JOVEN EL PROGRESO ZONA III, SECTOR 03 DEL DISTRITO DE CARABAYLLO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20606707534-ZRINCON CONSTRUCCIONES E.I.R.L.","AS-SM-32-2021-MDC/CS-1","1","OBRA","S/","268360.63","268360.63","268360.63"," ","04/01/2022","20/01/2022","07/03/2022","Publicado"
"MEJORAMIENTO DEL SERVICIO RECREATIVO EN EL AREA DEPORTIVA N° 02 DEL PUEBLO JOVEN VILLA ESPERANZA, SECTOR 03 DEL DISTRITO DE CARABAYLLO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20608268686-CONSORCIO DIMA","AS-SM-33-2021-MDC/CS-1","2","OBRA","S/","318229.09","318229.09","318229.09"," ","06/01/2022","17/01/2022","18/03/2022","Publicado"
"CREACION DEL SERVICIO DE ESPACIOS PUBLICOS RECREATIVOS EN EL PARQUE N° 02 DE LA AGRUPACION FAMILIAR 11 DE MAYO, SECTOR 03 DEL DISTRITO DE CARABAYLLO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20606384948-CONSORCIO 11 DE MAYO","AS-SM-34-2021-MDC/CS-1","5","OBRA","S/","979709.53","979709.53","979709.53"," ","18/01/2022","01/02/2022","30/06/2022","Publicado"
"CREACION DE LOS SERVICIOS RECREATIVOS EN EL PARQUE DEL PROGRAMA DE VIVIENDA RESIDENCIAL EL ENCANTO DE CARABAYLLO, SECTOR 04 DEL DISTRITO DE CARABAYLLO ¿ PROVINCIA DE LIMA ¿ DEPARTAMENTO DE LIMA","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20600907426-GMP INGENIEROS SOCIEDAD ANONIMA CERRADA","AS-SM-35-2021-MDC/CS-1","7","OBRA","S/","680558.32","680558.32","680558.32"," ","07/02/2022","15/02/2022","18/04/2022","Publicado"
"CONTRATACIÓN DE SERVICIOS: ¿SERVICIO DE IMPRESIÓN, ARMADO Y EMBOLSADO DE LA CARPETA TRIBUTARIA 2022 PARA LA SUB GERENCIA DE REGISTRO Y FISCALIZACION TRIBUTARIA DE LA MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20375154855-CONSORCIO EXPRESS","AS-SM-36-2021-CS/MDC-1","CONTRATO N° 008-2022-GAF-MDC","SERVICIO","S/","285595.2","311558.4","311558.4"," ","09/02/2022","10/02/2022","17/02/2022","Publicado"
"CONTRATACIÓN DE SERVICIO: SERVICIO DE DISTRIBUCION DE CARPETAS TRIBUTARIAS 2022 A LOS CONTRIBUYENTES DEL DISTRITO DE CARABAYLLO","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20602288111-CONSORCIO REAL","AS-SM-37-2021-CS/MDC-1","CONTRATO N° 009-2022-GAF-MDC","SERVICIO","S/","363484.8","380000","380000"," ","09/02/2022","10/02/2022","28/02/2022","Publicado"
"ADQUISICIÓN DE LOS INSUMOS DE LECHE EVAPORADA ENTERA Y HOJUELAS DE CEREALES CON SOYA PRECOCIDOS ENRIQUECIDOS CON VITAMINAS Y MINERALES PARA EL PROGRAMA VASO DE LECHE AÑO 2022-2023","20131368314-MUNICIPALIDAD DISTRITAL DE CARABAYLLO","20600989040-NEGOCIOS INNOVACIONES E INGENIERIA S.A.","LP-SM-3-2021-CS/MDC-1","CONTRATO N°006-2022-GAF-MDC","BIEN","S/","7355896.46","7355896.46","3677948.23","3677948.23","02/02/2022","03/02/2022","26/12/2023","Publicado"
